bacia,subBacia
Paraná,Paraná
Amazônica,Xingú
Araguaia-Tocantins,Tocantins
Amazônica,Madeira
São Francisco,São Francisco
Amazônica,Tapajós
Paraná,Paranaíba
Paraná,Iguaçu
Uruguai,Uruguai
Paraná,Grande
Atlântico-Sudeste,Cubatão
Paraná,Tietê
Paraná,Paranapanema
Atlântico-Sul,Jacuí
Atlântico-Leste,Jequitinhonha
Atlântico-Sudeste,Lajes
Amazônica,Amazonas
Atlântico-Sudeste,Doce
Atlântico-Sudeste,Paraíba do Sul
Atlântico-Sudeste,Ribeira
Parnaíba,Parnaíba
Paraguai,Cuiabá
Atlântico-Sul,Itajaí-Açu
Atlântico-Leste,Paraguaçu
Araguaia-Tocantins,Araguaia
Paraguai,Paraguai
Atlântico-Leste,Mucuri
Atlântico-Sudeste,Itabapoana