rio,bacia
Rio Paraná,Paraná
Rio Xingú,Amazônica
Rio Tocantins,Araguaia-Tocantins
Rio Madeira,Amazônica
Rio São Francisco,São Francisco
Rio Tapajós,Amazônica
Rio Paranaíba,Paraná
Rio Teles Pires,Amazônica
Rio Iguaçu,Paraná
Rio Uruguai,Uruguai
Rio Grande,Paraná
Rio Cubatão,Atlântico-Sudeste
Rio Jamanxim,Amazônica
Rio Canoas,Uruguai
Rio Tietê,Paraná
Rio Pelotas,Uruguai
Rio Paranapanema,Paraná
Rio Araguari,Paraná
Rio Jacuí,Atlântico-Sul
Rio Jequitinhonha,Atlântico-Leste
Ribeirão das Lajes,Atlântico-Sudeste
Rio Corumbá,Paraná
Rio Jari,Amazônica
Rio Tibagi,Paraná
Rio Doce,Atlântico-Sudeste
Rio Paraíba do Sul,Atlântico-Sudeste
Rio Aripuanã,Amazônica
Rio Capivari,Atlântico-Sudeste
Rio Araguari,Amazônica
Rio Uatumã,Amazônica
Rio Parnaíba,Parnaíba
Rio Passo Fundo,Uruguai
Rio Jamari,Amazônica
Rio São Marcos,Paraná
Rio Manso,Paraguai
Rio Itajaí-Açu,Atlântico-Sul
Rio Correntes,Paraguai
Rio Paraguaçu,Atlântico-Leste
Rio Itiquira,Paraguai
Rio Araguaia,Araguaia-Tocantins
Rio Piracicaba,Atlântico-Sudeste
Rio das Antas,Atlântico-Sul
Rio Jauru,Paraguai
Rio Jordão,Paraná
Rio Guaporé,Amazônica
Rio Chapecó,Uruguai
Rio Verde,Paraná
Rio Santo Antônio,Atlântico-Sudeste
Rio Pardo,Paraná
Rio Preto,São Francisco
Rio Claro,Paraná
Rio Paraibuna,Atlântico-Sudeste
Rio Paraopeba,São Francisco
Rio Ijuí,Uruguai
Rio Comemoração,Amazônica
Rio Mucuri,Atlântico-Leste
Rio Chopim,Paraná
Rio Itabapoana,Atlântico-Sudeste
Rio do Peixe,Atlântico-Sudeste
Rio Corrente,Paraná
Rio Curuá-Una,Amazônica
Rio Jaguari,Atlântico-Sudeste