usina,estado
Itaipu - Binacional,PR
Itaipu - Binacional,Alto Paraná
Belo Monte,PA
Tucuruí,PA
Jirau,RO
Santo Antônio,RO
Ilha Solteira,SP
Ilha Solteira,MS
Xingó,AL
Xingó,SE
Paulo Afonso IV,BA
Jatobá,PA
Itumbiara,GO
Itumbiara,MG
Teles Pires,PA
Teles Pires,MT
São Simão,GO
São Simão,MG
Foz do Areia (Gov. Bento Munhoz),PR
Jupiá (Eng. Souza Dias),MS
Jupiá (Eng. Souza Dias),SP
Porto Primavera (Eng. Sérgio Motta),MS
Porto Primavera (Eng. Sérgio Motta),SP
Itaparica (Luiz Gonzaga),PE
Itá,SC
Itá,RS
Marimbondo,SP
Marimbondo,MG
Salto Santiago,PR
Água Vermelha (José Ermirio de Moraes),MG
Água Vermelha (José Ermirio de Moraes),SP
Serra da Mesa,GO
Segredo (Gov. Ney Braga),PR
Salto Caxias (Gov. José Richa),PR
Furnas,MG
Emborcação,GO
Emborcação,MG
Machadinho (Carlos Ermírio de Moraes),SC
Machadinho (Carlos Ermírio de Moraes),RS
Estreito,TO
Estreito,MA
Salto Osório,PR
Sobradinho,BA
Estreito (Luís Carlos Barreto),MG
Estreito (Luís Carlos Barreto),SP
Lajeado (Luiz Eduardo Magalhães),TO
Henry Borden,SP
Jamanxim,PA
Campos Novos,SC
Foz do Chapecó,SC
Foz do Chapecó,RS
Três Irmãos,SP
Cachoeira do Caí,PA
Paulo Afonso III,BA
São Manoel,MT
São Manoel,PA
Barra Grande,RS
Barra Grande,SC
Cachoeira Dourada,GO
Cachoeira Dourada,MG
Capivara (Escola de Engenharia Mackenzie),SP
Capivara (Escola de Engenharia Mackenzie),PR
Cachoeira dos Patos,PA
Taquaruçu (Escola Politécnica),SP
Taquaruçu (Escola Politécnica),PR
Nova Ponte,MG
Itaúba,RS
Peixe Angical,TO
Peixoto (Mascarenhas de Moraes),MG
Itapebi,BA
Cana Brava,GO
Paulo Afonso II,BA
Jaguara,MG
Jaguara,SP
Chavantes,SP
Chavantes,PR
Miranda,MG
Sinop,MT
Moxotó (Apolônio Sales),BA
Moxotó (Apolônio Sales),AL
Irapé (Pres. Juscelino Kubitschek),MG
Três Marias,MG
Nilo Peçanha,RJ
Volta Grande,MG
Volta Grande,SP
Corumbá I,GO
Santo Antonio do Jari,AP
Santo Antonio do Jari,PA
Mauá (Gov. Jayme Canet Júnior),PR
Rosana,SP
Rosana,PR
Baixo Iguaçu,PR
Nova Avanhandava,SP
Aimorés (Eliezer Batista),MG
Aimorés (Eliezer Batista),ES
Porto Colômbia,MG
Porto Colômbia,SP
Simplício,RJ
Simplício,MG
Colíder,MT
Pai Querê,RS
Pai Querê,SC
Promissão (Mário Lopes Leão),SP
Dardanelos,MT
Capivari-Cachoeira (Gov. Parigot de Souza),PR
Ferreira Gomes,AP
Balbina,AM
São Salvador,TO
Capim Branco I (Amador Aguiar I),MG
Boa Esperança (Pres. Castelo Branco),PI
Boa Esperança (Pres. Castelo Branco),MA
Passo Fundo,RS
Cachoeira Caldeirão,AP
Samuel,RO
Funil,RJ
Serra do Facão,GO
Igarapava,MG
Igarapava,SP
Manso,MT
Capim Branco II (Amador Aguiar II),MG
Mascarenhas,ES
Garibaldi,SC
Salto Pilão,SC
Ilha dos Pombos,RJ
Paulo Afonso I,BA
Jacuí (Leonel Brizola),RS
Funil,MG
Ponte de Pedra,MT
Ponte de Pedra,MS
Pedra do Cavalo,BA
Passo Real,RS
Itiquira I e II,MT
Cachoeira Couto de Magalhães,GO
Cachoeira Couto de Magalhães,MT
Itaocara I,RJ
Itaocara I,MG
Bariri (Álvaro de Souza Lima),SP
São Roque,SC
Barra Bonita,SP
Guilman Amorim,MG
Candonga (Risoleta Neves),MG
Baguari,MG
Fontes Nova,RJ
Ibitinga,SP
Monte Claro,RS
Castro Alves,RS
Corumbá IV,GO
Dona Francisca,RS
Jauru,MT
Santa Clara,PR
Fundão,PR
Guaporé,MT
Quebra Queixo,SC
Salto,GO
Porto Estrela,MG
Euclides da Cunha,SP
Queimado,MG
Queimado,GO
Salto Grande,MG
Jurumirim (Armando A. Laydner),SP
14 de Julho,RS
Pereira Passos,RJ
Corumbá III,GO
Salto Rio Verdinho,GO
Barra dos Coqueiros,GO
Paraibuna,SP
Retiro Baixo,MG
Canoas I,SP
Canoas I,PR
Caconde,SP
Sá Carvalho,MG
Coaracy Nunes,AP
Passo São João,RS
Monjolinho (Alzir S. Antunes),RS
Salto Grande (Lucas Nogueira Garcez),SP
Salto Grande (Lucas Nogueira Garcez),PR
Rondon II,RO
Canoas II,SP
Canoas II,PR
Piraju,SP
Foz do Rio Claro (Eng. Godoy Pereira),GO
Caçu,GO
Santa Branca,PR
Sobragi,MG
Santa Clara,MG
São João,PR
Santa Branca,SP
Rosal,RJ
Rosal,ES
Batalha,GO
Itutinga,MG
São José,RS
Picada,MG
Itumirim,GO
São Domingos,MS
Camargos,MG
Cachoeirinha,PR
Ourinhos,SP
Ourinhos,PR
Curuá-Una (Silvio Braga),PA
Tibagi Montante,PR
Limoeiro (Armando de Salles Oliveira),SP
Espora,GO
Jaguari,SP