nome,inicioOperacao,potencia
Itaipu - Binacional,1984,14000
Belo Monte,2016,11233
Tucuruí,1984,8535
Jirau,2013,3750
Santo Antônio,2012,3568
Ilha Solteira,1973,3444
Xingó,1994,3162
Paulo Afonso IV,1979,2462
Itumbiara,1980,2082
Teles Pires,2015,"1819,8"
São Simão,1978,1710
Foz do Areia (Gov. Bento Munhoz),1980,1676
Jupiá (Eng. Souza Dias),1969,"1551,2"
Porto Primavera (Eng. Sérgio Motta),1999,1540
Itaparica (Luiz Gonzaga),1988,"1479,6"
Itá,2000,1450
Marimbondo,1975,1440
Salto Santiago,1980,1420
Água Vermelha (José Ermirio de Moraes),1978,"1396,2"
Serra da Mesa,1998,1275
Segredo (Gov. Ney Braga),1992,1260
Salto Caxias (Gov. José Richa),1999,1240
Furnas,1963,1216
Emborcação,1982,1192
Machadinho (Carlos Ermírio de Moraes),2002,1140
Estreito,2012,1087
Salto Osório,1975,1078
Sobradinho,1982,"1050,3"
Estreito (Luís Carlos Barreto),1969,1050
Lajeado (Luiz Eduardo Magalhães),2001,"902,5"
Henry Borden,1926,889
Campos Novos,2007,880
Foz do Chapecó,2010,855
Três Irmãos,1993,"807,5"
Paulo Afonso III,1971,"794,2"
São Manoel,2018,700
Barra Grande,2005,690
Cachoeira Dourada,1959,658
Capivara (Escola de Engenharia Mackenzie),1977,619
Taquaruçu (Escola Politécnica),1992,525
Nova Ponte,1994,510
Itaúba,1979,"500,4"
Peixe Angical,2006,"498,75"
Peixoto (Mascarenhas de Moraes),1956,476
Itapebi,2003,"462,01"
Cana Brava,2002,450
Paulo Afonso II,1961,443
Jaguara,1971,424
Chavantes,1970,414
Miranda,1998,408
Moxotó (Apolônio Sales),1977,400
Irapé (Pres. Juscelino Kubitschek),2006,399
Três Marias,1962,396
Nilo Peçanha,1953,"380,03"
Volta Grande,1974,380
Corumbá I,1996,375
Santo Antonio do Jari,2014,"373,4"
Mauá (Gov. Jayme Canet Júnior),2012,361
Rosana,1987,354
Baixo Iguaçu,2019[26],"350,2"
Nova Avanhandava,1982,"347,4"
Aimorés (Eliezer Batista),2005,330
Porto Colômbia,1973,320
Simplício,2013,"305,7"
Promissão (Mário Lopes Leão),1975,264
Dardanelos,2011,261
Capivari-Cachoeira (Gov. Parigot de Souza),1971,260
Ferreira Gomes,2014,252
Balbina,1989,"249,75"
São Salvador,2009,"243,2"
Capim Branco I (Amador Aguiar I),2006,240
Boa Esperança (Pres. Castelo Branco),1970,"237,3"
Passo Fundo,1973,226
Cachoeira Caldeirão,2016,219
Samuel,1996,"216,8"
Funil,1970,216
Serra do Facão,2010,"212,58"
Igarapava,1998,210
Manso,2000,210
Capim Branco II (Amador Aguiar II),2007,210
Mascarenhas,1973,198
Garibaldi,2013,"191,9"
Salto Pilão,2009,"191,89"
Ilha dos Pombos,1924,"187,16"
Paulo Afonso I,1955,"180,01"
Jacuí (Leonel Brizola),1962,180
Funil,2002,180
Ponte de Pedra,2005,"176,1"
Pedra do Cavalo,2004,160
Passo Real,1973,158
Itiquira I e II,2002,"157,37"
Bariri (Álvaro de Souza Lima),1969,"143,1"
Barra Bonita,1963,"140,76"
Guilman Amorim,1997,140
Candonga (Risoleta Neves),2004,140
Baguari,2009,140
Fontes Nova,1940,"131,98"
Ibitinga,1969,"131,49"
Monte Claro,2004,130
Castro Alves,2008,130
Corumbá IV,2006,127
Dona Francisca,2001,125
Jauru,2003,"121,5"
Santa Clara,2005,"120,16"
Fundão,2006,"120,16"
Guaporé,2003,120
Quebra Queixo,2003,120
Salto,2010,116
Porto Estrela,2001,112
Euclides da Cunha,1960,"108,8"
Queimado,2004,105
Salto Grande,1956,102
Jurumirim (Armando A. Laydner),1962,"100,96"
14 de Julho,2008,100
Pereira Passos,1962,"99,9"
Corumbá III,2009,"96,48"
Salto Rio Verdinho,2010,93
Barra dos Coqueiros,2010,90
Paraibuna,1978,"87,02"
Retiro Baixo,2010,"83,66"
Canoas I,1999,"82,5"
Caconde,1966,"80,4"
Sá Carvalho,1951,78
Coaracy Nunes,1975,78
Passo São João,2012,77
Monjolinho (Alzir S. Antunes),2009,74
Salto Grande (Lucas Nogueira Garcez),1958,"73,8"
Rondon II,2011,"73,5"
Canoas II,1999,72
Piraju,2002,70
Foz do Rio Claro (Eng. Godoy Pereira),2010,"68,4"
Caçu,2010,65
Sobragi,1998,60
Santa Clara,2002,60
Santa Branca,1999,"56,1"
Rosal,2000,55
Batalha,2014,"52,5"
Itutinga,1955,52
São José,2011,51
Picada,2006,50
São Domingos,2013,48
Camargos,1960,46
Ourinhos,2005,44
Curuá-Una (Silvio Braga),1977,"42,8"
Limoeiro (Armando de Salles Oliveira),1958,32
Espora,2006,32
Jaguari,1973,"27,6"